protein,cancer_types,pmids,dois
"nit of the ap-1 transcription factor (junb), in 70 prostate cancer",carcinoma; prostate cancer,40916883,10.4132/jptm.2025.06.06
tic biomarker and a potential tumor suppressor in prostate cancer.,carcinoma; prostate cancer,40916883,10.4132/jptm.2025.06.06
"cogene, a subunit of the ap-1 transcription factor (junb), in 70 prostate cancer",carcinoma; prostate cancer,40916883,10.4132/jptm.2025.06.06
ErbB Receptors,carcinoma; lung cancer,40892007; 40897431; 40898177; 40901248; 40916818,10.1093/stcltm/szae065; 10.1136/bmj-2024-082834; 10.11817/j.issn.1672-7347.2025.250026; 10.1186/s12896-025-01000-5; 10.2147/IJN.S531571
"ch as phospholipases, choline kinase, and autotaxin, have emerged",melanoma; oral cancer,40916419,10.2174/0115680096398874250818210830
"n, and resistance to therapy. enzymes involved in phos-pholipid me",melanoma; oral cancer,40916419,10.2174/0115680096398874250818210830
herapeutic sensitivity of the peptide pdbag1 in ovarian cancer via,breast cancer; ovarian cancer,40915555,10.1016/j.ejphar.2025.178128
f the crucial stress response transcription factor atf4 caused by pdbag1. collec,breast cancer; ovarian cancer,40915555,10.1016/j.ejphar.2025.178128
ivo. pdbag1 downregulated the protein level of c1qbp and damaged mi,breast cancer; ovarian cancer,40915555,10.1016/j.ejphar.2025.178128
stress response transcription factor atf4 caused by pdbag1. collec,breast cancer; ovarian cancer,40915555,10.1016/j.ejphar.2025.178128
"r work, this study identifies proteins altered in the prostate prot",carcinoma; prostate cancer,40915013,10.1016/j.arcmed.2025.103297
d increases susceptibility to oncogenesis.,carcinoma; prostate cancer,40915013,10.1016/j.arcmed.2025.103297
elioma (e.g. brca1-associated protein-1 [bap1]) independent of othe,breast cancer; melanoma,40914963,10.1093/pubmed/fdaf110
"1]) independent of other risk factors, such as amphibole asbestos",breast cancer; melanoma,40914963,10.1093/pubmed/fdaf110
"muc1, thereby enhancing muc1 protein stability. galnt4-induced o-g",carcinoma; pancreatic cancer,40914662,10.1016/j.pan.2025.08.008
mo) in human epidermal growth factor receptor 2 (her2)-positive ad,breast cancer; gastric cancer,40913834,10.1016/j.esmoop.2025.105563
(t-chemo) in human epidermal growth factor receptor 2 (her2)-positive ad,breast cancer; gastric cancer,40913834,10.1016/j.esmoop.2025.105563
human epidermal growth factor receptor 2 (her2)-positive advanced ga,breast cancer; gastric cancer,40913834,10.1016/j.esmoop.2025.105563
he role of humanized chimeric antigen receptor (car) modified natur,carcinoma; lung cancer,40913086,10.1038/s41417-025-00957-x
"long-term killing ability and cytokine secretion ability, and had a",carcinoma; lung cancer,40913086,10.1038/s41417-025-00957-x
"robo1 is an important surface receptor on tumor cells, but the role",carcinoma; lung cancer,40913086,10.1038/s41417-025-00957-x
changes were detected in noxa protein levels concerning ovarian can,carcinoma; ovarian cancer,40913040,10.1038/s41598-025-17650-6
ected epidermal growth factor receptor/anaplastic lymphoma kinase-po,lung cancer; lymphoma,40912914,10.1136/thorax-2025-223096
ibitors in resected epidermal growth factor receptor/anaplastic lymphoma,lung cancer; lymphoma,40912914,10.1136/thorax-2025-223096
in resected epidermal growth factor receptor/anaplastic lymphoma,lung cancer; lymphoma,40912914,10.1136/thorax-2025-223096
"ii disease, adjuvant tyrosine kinase inhibitors in resected epider",lung cancer; lymphoma,40912914,10.1136/thorax-2025-223096
rare epidermal growth factor receptor (egfr) exon 19 insertion-dele,carcinoma; lung cancer,40912044,10.1016/j.esmoop.2025.105564
ical impact of rare epidermal growth factor receptor (egfr) exon 19 inser,carcinoma; lung cancer,40912044,10.1016/j.esmoop.2025.105564
deletion variants on tyrosine kinase inhibitor efficacy in non-sma,carcinoma; lung cancer,40912044,10.1016/j.esmoop.2025.105564
pact of rare epidermal growth factor receptor (egfr) exon 19 inser,carcinoma; lung cancer,40912044,10.1016/j.esmoop.2025.105564
and adverse effects including cytokine release syndrome. recent inno,carcinoma; pancreatic cancer,40912036,10.1016/j.seminoncol.2025.152411
such as fibroblast activation protein (fap)-specific cars and hepar,carcinoma; pancreatic cancer,40912036,10.1016/j.seminoncol.2025.152411
r pancreatic cancer. chimeric antigen receptor (car) t-cell therapy,carcinoma; pancreatic cancer,40912036,10.1016/j.seminoncol.2025.152411
atic cancer. chimeric antigen receptor (car) t-cell therapy has chan,carcinoma; pancreatic cancer,40912036,10.1016/j.seminoncol.2025.152411
ebp-2). by binding to liver x receptors (lxr) and estrogen receptors,carcinoma; lung cancer,40911990,10.1016/j.intimp.2025.115491
ol regulatory element-binding protein 2 (srebp-2). by binding to li,carcinoma; lung cancer,40911990,10.1016/j.intimp.2025.115491
"mitochondrial cytochrome p450 enzyme, sterol 27-hydroxylase (cyp27",carcinoma; lung cancer,40911990,10.1016/j.intimp.2025.115491
hemoradiotherapy is a crucial factor limiting the efficacy of ther,carcinoma; esophageal cancer,40911942,10.1016/j.drup.2025.101296
nd identified the ring finger protein 217 (rnf217) as a new regulat,carcinoma; esophageal cancer,40911942,10.1016/j.drup.2025.101296
Proto-Oncogene Proteins c-akt,breast cancer; colorectal cancer,40898016; 40910254; 40911847,10.1080/19490976.2025.2555446; 10.1186/s10020-025-01325-z; 10.3892/or.2025.8980
Phosphatidylinositol 3-Kinases,breast cancer; colorectal cancer,40898016; 40910254; 40911847,10.1080/19490976.2025.2555446; 10.1186/s10020-025-01325-z; 10.3892/or.2025.8980
"ineage-defining transcription factor of sclc, ascl1, has been impl",carcinoma; lung cancer,40911432,10.1158/1078-0432.CCR-25-2090
seizure-related homolog protein 6 (sez6): biology and therape,carcinoma; lung cancer,40911432,10.1158/1078-0432.CCR-25-2090
"s limited. a lineage-defining transcription factor of sclc, ascl1, has been impl",carcinoma; lung cancer,40911432,10.1158/1078-0432.CCR-25-2090
"emerged as a novel target for antibody-drug conjugate (adc) therapy,",carcinoma; lung cancer,40911432,10.1158/1078-0432.CCR-25-2090
on prostate-specific membrane antigen positron emission tomography,carcinoma; prostate cancer,40910488,10.1097/JU.0000000000004734
Protein Serine-Threonine Kinases,breast cancer; ovarian cancer,40910229; 40910254,10.3892/ijmm.2025.5627; 10.3892/or.2025.8980
"disease, the heterogeneity of antigen expression in order to avoid",lung cancer; sarcoma,40909976,10.3389/fonc.2025.1601443
ceive epidermal growth factor receptor (egfr) inhibitor treatment. t,colorectal cancer; sarcoma,40909964,10.3389/fonc.2025.1605915
d to receive epidermal growth factor receptor (egfr) inhibitor tre,colorectal cancer; sarcoma,40909964,10.3389/fonc.2025.1605915
ype kirsten rat sarcoma viral oncogene homologue (kras) gene were re,colorectal cancer; sarcoma,40909964,10.3389/fonc.2025.1605915
ommended to receive epidermal growth factor receptor (egfr) inhibitor tre,colorectal cancer; sarcoma,40909964,10.3389/fonc.2025.1605915
"signaling, and enhanced mhc-i antigen presentation along the diseas",carcinoma; ovarian cancer,40909841,10.1101/2025.08.25.25333715
nd a normal prostate-specific antigen of 0.96 ng/ml was referred fo,carcinoma; prostate cancer,40909313,10.1002/iju5.70088
"a pd-(l)1-blocking monoclonal antibody, together with the oral multi",carcinoma; lung cancer,40908570,10.1002/cam4.71191
Time Factors,breast cancer; prostate cancer,40900461; 40908518,10.1002/mp.17960; 10.1590/1414-431X2025e14527
"Receptors, Progesterone",breast cancer; carcinoma,40898467; 40908488,10.1097/MD.0000000000044222; 10.1186/s12957-025-03962-4
"Receptors, Estrogen",breast cancer; carcinoma,40891595; 40898467; 40908488,10.1002/cam4.71172; 10.1097/MD.0000000000044222; 10.1186/s12957-025-03962-4
ell lymphoma 2 (bcl-2) family proteins that block cell-intrinsic ap,leukemia; lymphoma,40908151,10.1158/1535-7163.MCT-24-0873
of anti-vascular endothelial growth factor (vegf) antibodies (avas) in c,breast cancer; ovarian cancer,40907495,10.1016/j.xcrm.2025.102329
i-vascular endothelial growth factor (vegf) antibodies (avas) in c,breast cancer; ovarian cancer,40907495,10.1016/j.xcrm.2025.102329
cancer type 1 susceptibility protein (brca1)-associated ring domai,breast cancer; ovarian cancer,40907495,10.1016/j.xcrm.2025.102329
oeconomic status and rurality-factors that may influence access to,breast cancer; colorectal cancer,40906319,10.1007/s10552-025-02054-8
raction < 0.001) and estrogen receptor (er)-negative survivors (er n,breast cancer; colorectal cancer,40906319,10.1007/s10552-025-02054-8
Risk Factors,breast cancer; ovarian cancer,40890881; 40897668; 40905868,10.1186/s13058-025-02110-w; 10.24546/0100497175; 10.4103/jcrt.jcrt_28_25
n. although smoking is a risk factor for pancreatic adenocarcinoma,carcinoma; pancreatic cancer,40905825,10.1158/2159-8290.CD-25-0377
aryl hydrocarbon receptor ligands drive pancreatic cancer init,carcinoma; pancreatic cancer,40905825,10.1158/2159-8290.CD-25-0377
aryl hydrocarbon receptor ligands drive pancreatic canc,carcinoma; pancreatic cancer,40905825,10.1158/2159-8290.CD-25-0377
"to vaccination was performed. antigen p27 testing, pcr testing to d",leukemia; sarcoma,40905267,10.1177/1098612X251353080
antibody responses to feline leukaemia,leukemia; sarcoma,40905267,10.1177/1098612X251353080
Sex Factors,leukemia; sarcoma,40905267,10.1177/1098612X251353080
a levels of soluble upar (upa receptor) are associated with progress,cervical cancer; colorectal cancer,40905116,10.1161/ATVBAHA.124.321603
ated plasma levels of upa (urokinase plasminogen activator) are as,cervical cancer; colorectal cancer,40905116,10.1161/ATVBAHA.124.321603
"profibrinolytic factors and cancer progression, meta",cervical cancer; colorectal cancer,40905116,10.1161/ATVBAHA.124.321603
"scription factor a, tetratricopeptide repeat domain 19, coiled-coil",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
"β regulator 4, mitochondrial transcription factor a, tetratricopeptide repeat d",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
"iency virus-1 tat interactive protein 2, cytochrome c somatic, mito",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
"mal protein l44, transforming growth factor β regulator 4, mitochondrial",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
"pyruvate carrier 1, adenylate kinase 2, mitochondrial ribosomal pr",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
"tein l44, transforming growth factor β regulator 4, mitochondrial",carcinoma; lung cancer,40904599,10.3892/ol.2025.15240
") cells, and chimeric antigen receptor t (car-t) cells have shown en",carcinoma; lung cancer,40904467,10.3389/fimmu.2025.1633100
"antly constrained by multiple factors, including the immunosuppres",carcinoma; lung cancer,40904467,10.3389/fimmu.2025.1633100
"tic cell (dc)-based vaccines, cytokine-induced killer (cik) cells, a",carcinoma; lung cancer,40904467,10.3389/fimmu.2025.1633100
"ler (cik) cells, and chimeric antigen receptor t (car-t) cells have",carcinoma; lung cancer,40904467,10.3389/fimmu.2025.1633100
"mens, and cell lines. in situ protein expression of slc6a8 was inve",carcinoma; lung cancer,40903981,10.1002/1878-0261.70121
"yap-driven cancer metastasis. protein s-palmitoylation, a dynamic a",carcinoma; lung cancer,40903842,10.1111/jcmm.70815
substrates of individual dhhc enzymes remain poorly characterised.,carcinoma; lung cancer,40903842,10.1111/jcmm.70815
YAP-Signaling Proteins,carcinoma; lung cancer,40903842,10.1111/jcmm.70815
"ncers, yet its large, nuclear protein-protein interface has long fr",carcinoma; lymphoma,40903666,10.1007/s10637-025-01582-z
ntification of tribbles pseudokinase 3 (trib3) as a high-affinity,carcinoma; lymphoma,40903666,10.1007/s10637-025-01582-z
"ion strategies. the oncogenic transcription factor myc drives proliferation, met",carcinoma; lymphoma,40903666,10.1007/s10637-025-01582-z
"ude helix-mimetic and stapled peptides such as pcm4, fragment-deriv",carcinoma; lymphoma,40903666,10.1007/s10637-025-01582-z
". the oncogenic transcription factor myc drives proliferation, met",carcinoma; lymphoma,40903666,10.1007/s10637-025-01582-z
l1) expression are prognostic factors for tnbc. we analyzed the as,breast cancer; carcinoma,40903297,10.1272/jnms.JNMS.2025_92-405
sociation of programmed death-ligand 1 expression in relation to t,breast cancer; carcinoma,40903297,10.1272/jnms.JNMS.2025_92-405
cial at-rich sequence-binding protein 2. these findings indicated a,carcinoma; pancreatic cancer,40903270,10.5387/fms.25-00017
"1 encodes two oncogenic viral factors, tax and htlv-1 bzip factor",leukemia; lymphoma,40903254,10.11406/rinketsu.66.773
Retroviridae Proteins,leukemia; lymphoma,40903254,10.11406/rinketsu.66.773
anscript not only encodes hbz protein but also acts in a similar wa,leukemia; lymphoma,40903254,10.11406/rinketsu.66.773
Basic-Leucine Zipper Transcription Factors,leukemia; lymphoma,40903254,10.11406/rinketsu.66.773
imodal functions of htlv-1 in oncogenesis of adult t-cell leukemia-l,leukemia; lymphoma,40903254,10.11406/rinketsu.66.773
y in lcnec alongside relevant protein expression data. tissue micro,carcinoma; lung cancer,40902984,10.1016/j.labinv.2025.104234
"positive for desmin and s100 protein, but negative for ema, cd99 a",melanoma; sarcoma,40902304,10.1016/j.patol.2025.100841
entify canonical transforming growth factor-β (tgf-β) signaling as the mo,breast cancer; carcinoma,40901953,10.1126/sciadv.ady1289
ress-protective transcription factor heat shock factor 2 (hsf2) is,breast cancer; carcinoma,40901953,10.1126/sciadv.ady1289
vasion. the stress-protective transcription factor heat shock factor 2 (hsf2) is,breast cancer; carcinoma,40901953,10.1126/sciadv.ady1289
Heat Shock Transcription Factors,breast cancer; carcinoma,40901953,10.1126/sciadv.ady1289
Transforming Growth Factor beta,breast cancer; carcinoma,40901953,10.1126/sciadv.ady1289
lso an independent prognostic factor. the interaction between canc,carcinoma; lung cancer,40901786,10.1177/09603271251376577
ened and validated the target proteins in macrophages that interact,carcinoma; lung cancer,40901786,10.1177/09603271251376577
"d pcna, ki-67, and n-cadherin protein levels, while fad increased e",carcinoma; lung cancer,40901755,10.1002/jbt.70486
e vascular endothelial growth factor (vegf)/egfr pathway. og@hpo r,carcinoma; lung cancer,40901248,10.2147/IJN.S531571
ting the vascular endothelial growth factor (vegf)/egfr pathway. og@hpo r,carcinoma; lung cancer,40901248,10.2147/IJN.S531571
a hybrid protein-oxygen nanomedicine overcomes,carcinoma; lung cancer,40901248,10.2147/IJN.S531571
he 20s proteasome involved in protein degradation and antigen prese,carcinoma; lung cancer,40900751,10.7717/peerj.19958
"ed in protein degradation and antigen presentation, has been implic",carcinoma; lung cancer,40900751,10.7717/peerj.19958
Protein Interaction Maps,breast cancer; prostate cancer,40898538; 40900470,10.1097/MD.0000000000044142; 10.31744/einstein_journal/2025AO1601
BRCA2 Protein,carcinoma; ovarian cancer,40890782; 40891252; 40900191,10.1002/cnr2.70335; 10.1007/s10689-025-00496-2; 10.1186/s13063-025-09062-8
ty of glucagon-like peptide-1 receptor agonists in patients with typ,carcinoma; colorectal cancer,40900093,10.14309/ajg.0000000000003760
liary safety of glucagon-like peptide-1 receptor agonists in patien,carcinoma; colorectal cancer,40900093,10.14309/ajg.0000000000003760
"s. it activates retinoic acid receptors (rars), suppresses oncogenic",glioblastoma; head and neck cancer,40899415,10.1002/ardp.70084
human epidermal growth factor receptor 2 (her2) amplification treate,carcinoma; gastric cancer,40898491,10.1097/MD.0000000000044094
arcinoma with human epidermal growth factor receptor 2 (her2) amplificati,carcinoma; gastric cancer,40898491,10.1097/MD.0000000000044094
a with human epidermal growth factor receptor 2 (her2) amplificati,carcinoma; gastric cancer,40898491,10.1097/MD.0000000000044094
in d receptor expression with hormone receptors and other clinicopa,breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
"eceptor (pr), human epidermal growth factor receptor 2 (her2), and ki-67",breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
"Receptors, Calcitriol",breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
r) has been implicated in the oncogenesis and prognosis of various t,breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
relationship of vitamin d receptor expression with hormone recep,breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
"(pr), human epidermal growth factor receptor 2 (her2), and ki-67",breast cancer; carcinoma,40898467,10.1097/MD.0000000000044222
"Oncogene Proteins, Fusion",leukemia; lymphoma,40898409,10.1080/16078454.2025.2550815
"Antigens, CD19",leukemia; lymphoma,40898409,10.1080/16078454.2025.2550815
erformed to assess apoptosis. protein expression of bax and bcl-2 w,carcinoma; colorectal cancer,40898175,10.1186/s12906-025-05075-7
th protein 1/programmed death-ligand 1 (anti-pd-[l]1) immunotherap,carcinoma; lung cancer,40898159,10.1186/s12885-025-14779-5
). anti-programmed cell death protein 1/programmed death-ligand 1 (,carcinoma; lung cancer,40898159,10.1186/s12885-025-14779-5
"immunity through expanding neoantigen-specific cd8 + t cells, but i",carcinoma; lung cancer,40898159,10.1186/s12885-025-14779-5
Phosphoproteins,melanoma; skin cancer,40897749,10.1038/s41597-025-05807-x
Proto-Oncogene Proteins B-raf,melanoma; skin cancer,40892895; 40897749,10.1038/s41597-025-05807-x; 10.1126/scisignal.adw3231
Nuclear Proteins,carcinoma; lung cancer,40897711,10.1038/s41467-025-63687-6
"cytarabine (ara-c), and t-box transcription factor 21 (tbx21) emerged as a plaus",leukemia; lymphoma,40897694,10.1038/s41419-025-07981-7
"a-c), and t-box transcription factor 21 (tbx21) emerged as a plaus",leukemia; lymphoma,40897694,10.1038/s41419-025-07981-7
STAT6 Transcription Factor,leukemia; lymphoma,40897694,10.1038/s41419-025-07981-7
mplications of cox-2 and her2 protein expression for the prognosis,carcinoma; colorectal cancer,40897122,10.1016/j.patol.2025.100840
"pregulated tissue factor (tf) protein expression in plelc, while un",carcinoma; lung cancer,40896442,10.3389/fonc.2025.1640201
"xisome proliferator-activated receptor α (ppar-α), and tf inhibitors",carcinoma; lung cancer,40896442,10.3389/fonc.2025.1640201
s revealed upregulated tissue factor (tf) protein expression in pl,carcinoma; lung cancer,40896442,10.3389/fonc.2025.1640201
"tremely low prostate-specific antigen levels, recurrent disease: a",carcinoma; prostate cancer,40896436,10.3389/fonc.2025.1645306
"logy, negativity for hormonal receptors (estrogen receptor (er), pro",breast cancer; carcinoma,40895660,10.7759/cureus.89193
"%, and human epidermal growth factor receptor 2 (her2) overexpress",breast cancer; carcinoma,40895660,10.7759/cureus.89193
"on at 5%, and human epidermal growth factor receptor 2 (her2) overexpress",breast cancer; carcinoma,40895660,10.7759/cureus.89193
function of the transcription factor pu.1 as an oncogene has alrea,carcinoma; lung cancer,40895524,10.3389/fimmu.2025.1604237
en though the function of the transcription factor pu.1 as an oncogene has alrea,carcinoma; lung cancer,40895524,10.3389/fimmu.2025.1604237
anscription factor pu.1 as an oncogene has already been investigated,carcinoma; lung cancer,40895524,10.3389/fimmu.2025.1604237
"forms, mrna-based candidates, peptide vaccines, and dendritic cell-",leukemia; lymphoma,40895309,10.3389/fcimb.2025.1587802
highlight the roles of viral proteins such as tax and hbz in immun,leukemia; lymphoma,40895309,10.3389/fcimb.2025.1587802
(ham/tsp). among the key risk factors for atll development are hig,leukemia; lymphoma,40895309,10.3389/fcimb.2025.1587802
vels of soluble interleukin-2 receptor. unlike classical oncogenic v,leukemia; lymphoma,40895309,10.3389/fcimb.2025.1587802
htlv-1 does not encode proto-oncogenes but instead drives cellular,leukemia; lymphoma,40895309,10.3389/fcimb.2025.1587802
ctor receptor (egfr)-tyrosine kinase inhibitors (tkis) have a cruc,carcinoma; lung cancer,40895164,10.1016/j.rmcr.2025.102271
enocarcinoma again. epidermal growth factor receptor (egfr)-tyrosine kina,carcinoma; lung cancer,40895164,10.1016/j.rmcr.2025.102271
gain. epidermal growth factor receptor (egfr)-tyrosine kinase inhibi,carcinoma; lung cancer,40895164,10.1016/j.rmcr.2025.102271
inoma again. epidermal growth factor receptor (egfr)-tyrosine kina,carcinoma; lung cancer,40895164,10.1016/j.rmcr.2025.102271
g as black. we identified 110 proteins that significantly differed,bladder cancer; prostate cancer,40894632,10.1101/2025.08.14.670396
tion and other socio-economic factors. while men of african ancest,bladder cancer; prostate cancer,40894632,10.1101/2025.08.14.670396
s remain poorly defined. glycoprotein nonmetastatic melanoma protei,breast cancer; melanoma,40892920,10.1073/pnas.2503081122
